id,game,fullDate,team_name,week,winner,duration_min,total_kills,total_assists,total_deaths,total_gold,gold_min,total_damage,damage_min,red_buff,blue_buff,lord_kill,tortoise_kill,tower_destroy,sum_buffs,KDA,assists_taken,gold_w3,gold_w1,damage_w3,damage_w1,id_encode,game_encode,team_name_encode,fullDate_encode
https://ph-mpl.com/data/match/blck-nxpe-20220225,game1,2022-02-25 20:00:00,BLCK,2,0,17.02,8,14,14,46824,2751,160000,9402,5,6,0,2,2,11,1.57,37,3511.8,731.62,12000.0,2500.0,4,0,0,8
https://ph-mpl.com/data/match/blck-nxpe-20220225,game1,2022-02-25 20:00:00,NXPE,2,1,17.02,14,37,8,54528,3204,200276,11769,12,10,3,1,9,22,6.38,50,1778.09,332.49,6530.74,1221.2,4,0,3,8
https://ph-mpl.com/data/match/blck-nxpe-20220225,game2,2022-02-25 20:00:00,BLCK,2,1,20.28,16,50,11,65076,3208,211397,10422,7,9,2,2,7,16,6.0,29,2122.04,301.28,6893.38,978.69,4,1,0,8
https://ph-mpl.com/data/match/blck-nxpe-20220225,game2,2022-02-25 20:00:00,NXPE,2,0,20.28,11,29,16,59424,2929,211602,10432,11,14,2,1,9,25,2.5,33,2228.4,464.25,7935.08,1653.14,4,1,3,8
https://ph-mpl.com/data/match/blck-nxpe-20220225,game3,2022-02-25 20:00:00,NXPE,2,1,14.72,11,33,1,47929,3256,183563,12473,8,10,2,3,8,18,44.0,2,1891.93,315.32,7245.91,1207.65,4,2,3,8
https://ph-mpl.com/data/match/blck-nxpe-20220225,game3,2022-02-25 20:00:00,BLCK,2,0,14.72,1,2,11,36542,2483,71558,4862,5,5,0,0,3,10,0.27,6,6851.62,4567.75,13417.12,8944.75,4,2,0,8
https://ph-mpl.com/data/match/tnc-echo-20220226,game1,2022-02-26 16:00:00,TNC,2,0,15.25,4,6,12,42515,2787,152870,10024,7,7,0,3,3,14,0.83,24,4555.18,1180.97,16378.93,4246.39,54,0,7,9
https://ph-mpl.com/data/match/tnc-echo-20220226,game1,2022-02-26 16:00:00,ECHO,2,1,15.25,12,24,4,46936,3077,154060,10102,7,10,1,0,7,17,9.0,25,1852.74,469.36,6081.32,1540.6,54,0,2,9
https://ph-mpl.com/data/match/tnc-echo-20220226,game2,2022-02-26 16:00:00,TNC,2,1,23.75,11,25,13,73796,3107,273571,11518,11,10,3,3,8,21,2.77,17,2913.0,595.13,10798.86,2206.22,54,1,7,9
https://ph-mpl.com/data/match/tnc-echo-20220226,game2,2022-02-26 16:00:00,ECHO,2,0,23.75,13,17,11,67596,2846,292565,12318,12,15,1,0,6,27,2.73,36,2668.26,938.83,11548.62,4063.4,54,1,2,9
